# Marty settings database, generated by .agents/tools/build_marty_db.py.
# Edit marty_db_user.tsv beside it instead: its rows win over these.
# D is what "-" means; T is a title; K maps a media or file name key to a title.
V	1
D	2M	plus	pad	pad	towns	1
T	100isshu	-	-	-	mouse	-	-	-	-	Towns Hyakunin Isshu
T	15puzzle	-	-	-	-	-	-	-	-	15 Puzzle
T	2069ad	-	-	-	-	-	-	-	-	2069 AD
T	2shot	-	-	-	mouse	-	-	-	y	Two Shot Diary
T	386asm	-	-	-	-	-	-	-	-	386|ASM Tool Kit V1.1
T	38man	-	-	-	-	-	-	-	-	38-man Kilo no Kokuu
T	3dgolfel	-	-	-	mouse	-	-	y	y	New 3D Golf Simulation - Eight Lakes G.C.
T	3dgolfha	-	-	-	mouse	-	-	y	y	New 3D Golf Simulation - Harukanaru Augusta
T	3x3eyes	-	-	-	mouse	-	-	-	y	3x3 Eyes - Sanjiyan Henjou
T	4dboxing	-	gs	-	mouse	-	-	-	y	4D Boxing
T	4ddrivin	-	orig	-	mouse	-	-	-	y	4D Driving
T	4ddrivinm	-	orig	-	mouse	-	-	-	y	4D Driving (FM Towns Marty version)
T	4dtennis	-	-	-	mouse	-	-	-	y	4D Tennis
T	4thuni12	-	-	-	-	-	-	-	-	The 4th Unit 1-2 Towns - Linkage
T	94nicegal	-	-	-	mouse	-	-	-	-	'94-nen Nice Gal - Natsu no Soukessan
T	ab2again	-	-	-	-	-	-	-	-	After Burner II Again
T	abas	-	-	-	-	-	-	-	-	Abas
T	abasnew	-	-	-	-	-	-	-	-	Abas New
T	abel	4M	-	-	-	-	-	-	y	Abel - Shin Mokushiroku Taisen
T	abunaten	-	-	-	pad	-	-	-	-	Abunai Tengu Densetsu
T	aburner	-	-	-	-	-	-	-	-	After Burner (v1.02)
T	aburner3	-	-	pad	apad	-	-	-	-	After Burner III
T	aburnera	-	-	-	-	-	-	-	-	After Burner (v1.02, alt)
T	aburnero	-	-	-	-	-	-	-	-	After Burner (v1.01)
T	adtennis	-	-	-	-	-	-	-	y	Advantage Tennis
T	aesop1	-	-	-	mouse	-	-	-	y	Ehon Writer - Denshi Ehon - Aesop World Dai-1-shuu
T	aeternam	-	-	-	-	-	-	-	y	Aeternam
T	aircmb2s	-	-	-	-	-	-	-	y	Air Combat II Special
T	airmanag	-	-	-	mouse	-	-	y	-	Air Management - Oozora ni Kakeru
T	airraidr	-	-	-	mouse	-	-	-	-	Air Raider
T	airwar11	-	-	-	-	-	-	-	-	Air Warrior V1.1 (1992-04-09)
T	airwar11o	-	-	-	-	-	-	-	-	Air Warrior V1.1 (1992-03-16)
T	airwar1210	-	-	-	-	-	-	-	-	Air Warrior V1.2L10
T	airwar1211	-	-	-	-	-	-	-	-	Air Warrior V1.2L11
T	airwar21	-	-	-	-	-	-	-	-	Air Warrior V2.1L10
T	aishimai	-	-	-	-	-	-	-	-	Ai Shimai - Futari no Kajitsu
T	aitd	-	gs	-	-	-	-	-	y	Alone in the Dark
T	aitd2	4M	-	-	-	-	-	y	-	Alone in the Dark 2
T	akikogld	-	-	-	mouse	-	-	y	-	Akiko Gold
T	akikoprm	-	-	-	mouse	-	-	-	y	Akiko - Premium Version
T	alice	-	-	-	mouse	-	-	-	y	Alice no Yakata CD
T	alice2	-	-	-	mouse	-	-	y	-	Alice no Yakata CD II
T	alice3	-	-	-	-	-	-	-	-	Alice no Yakata 3 (1995-06-19)
T	alice3o	-	-	-	-	-	-	-	-	Alice no Yakata 3 (1995-05-16)
T	alshark	-	-	-	-	-	-	-	y	Alshark
T	amarant3	-	-	-	mouse	-	-	-	y	Amaranth III
T	ambivalz	-	-	-	mouse	-	-	y	-	AmbivalenZ - Niritsu Haihan
T	amoudan	-	-	-	mouse	-	-	-	-	America Oudan Ultra Quiz
T	angel	-	-	-	mouse	-	-	-	y	Angel
T	anghalo	-	-	-	mouse	-	-	-	y	Angel Halo
T	anneyume	-	-	-	mouse	-	-	-	-	Anne no Yume no Kuni - Anne's Country of Dreams
T	anotowns	6M	-	-	-	-	-	-	-	AnotherTOWNS - Anata~ Free Software Collection
T	anpanman	-	-	-	-	-	-	-	-	Soreike! Anpanman - Tanoshii Eigo Asobi
T	appare1	-	-	-	mouse	-	-	-	-	Appare CD Vol. 1 - Hiryuu no Maki
T	appare2	-	-	-	mouse	-	-	-	-	Appare CD Vol. 2 - Houou no Maki
T	applijs	-	-	pad	-	-	-	-	-	FM Towns Appli Jikkou Set (TownsGEAR, F-BASIC386) V2.1 L20
